Source,Year,Series,Target,Value
Afghanistan,2010,Major trading partner 1 (% of exports),India,16.8
Afghanistan,2015,Major trading partner 1 (% of exports),India,33.1
Afghanistan,2020,Major trading partner 1 (% of exports),India,47.1
Afghanistan,2010,Major trading partner 1 (% of imports),Iran,7.5
Afghanistan,2015,Major trading partner 1 (% of imports),Iran,23.4
Afghanistan,2020,Major trading partner 1 (% of imports),Iran,14.6
Afghanistan,2010,Major trading partner 2 (% of exports),Pakistan,39
Afghanistan,2015,Major trading partner 2 (% of exports),Pakistan,39.7
Afghanistan,2020,Major trading partner 2 (% of exports),Pakistan,34.3
Afghanistan,2010,Major trading partner 2 (% of imports),China,13.7
Afghanistan,2015,Major trading partner 2 (% of imports),China,13.5
Afghanistan,2020,Major trading partner 2 (% of imports),China,13.9
Afghanistan,2010,Major trading partner 3 (% of exports),China,3
Afghanistan,2015,Major trading partner 3 (% of exports),China,1.8
Afghanistan,2020,Major trading partner 3 (% of exports),China,3.6
Afghanistan,2010,Major trading partner 3 (% of imports),Pakistan,11.6
Afghanistan,2015,Major trading partner 3 (% of imports),Pakistan,17.4
Afghanistan,2020,Major trading partner 3 (% of imports),Pakistan,12.9
Albania,2010,Major trading partner 1 (% of exports),Italy,50.8
Albania,2015,Major trading partner 1 (% of exports),Italy,50.9
Albania,2020,Major trading partner 1 (% of exports),Italy,45.4
Albania,2010,Major trading partner 1 (% of imports),Italy,28.2
Albania,2015,Major trading partner 1 (% of imports),Italy,30.3
Albania,2020,Major trading partner 1 (% of imports),Italy,25.1
Albania,2010,Major trading partner 2 (% of exports),Serbia,8.3
Albania,2015,Major trading partner 2 (% of exports),Serbia,9.9
Albania,2020,Major trading partner 2 (% of exports),Serbia,12
Albania,2010,Major trading partner 2 (% of imports),Turkey,5.7
Albania,2015,Major trading partner 2 (% of imports),Turkey,8
Albania,2020,Major trading partner 2 (% of imports),Turkey,9.6
Albania,2010,Major trading partner 3 (% of exports),Spain,3.4
Albania,2015,Major trading partner 3 (% of exports),Spain,5.2
Albania,2020,Major trading partner 3 (% of exports),Spain,6.1
Albania,2010,Major trading partner 3 (% of imports),Greece,13.1
Albania,2015,Major trading partner 3 (% of imports),Greece,7.8
Albania,2020,Major trading partner 3 (% of imports),Greece,9
Algeria,2010,Major trading partner 1 (% of exports),Italy,15.4
Algeria,2015,Major trading partner 1 (% of exports),Italy,15.1
Algeria,2020,Major trading partner 1 (% of exports),Italy,16.2
Algeria,2010,Major trading partner 1 (% of imports),China,11.2
Algeria,2015,Major trading partner 1 (% of imports),China,15.9
Algeria,2020,Major trading partner 1 (% of imports),China,16.4
Algeria,2010,Major trading partner 2 (% of exports),France,6.6
Algeria,2015,Major trading partner 2 (% of exports),France,13.2
Algeria,2020,Major trading partner 2 (% of exports),France,13.8
Algeria,2010,Major trading partner 2 (% of imports),France,14.9
Algeria,2015,Major trading partner 2 (% of imports),France,10.5
Algeria,2020,Major trading partner 2 (% of imports),France,14.1
Algeria,2010,Major trading partner 3 (% of exports),Spain,10.4
Algeria,2015,Major trading partner 3 (% of exports),Spain,17.7
Algeria,2020,Major trading partner 3 (% of exports),Spain,12.9
Algeria,2010,Major trading partner 3 (% of imports),Russian Federation,0.4
Algeria,2015,Major trading partner 3 (% of imports),Russian Federation,1.6
Algeria,2020,Major trading partner 3 (% of imports),Russian Federation,7.6
Andorra,2010,Major trading partner 1 (% of exports),Spain,67.4
Andorra,2015,Major trading partner 1 (% of exports),Spain,57.5
Andorra,2020,Major trading partner 1 (% of exports),Spain,61.7
Andorra,2010,Major trading partner 1 (% of imports),Spain,59.9
Andorra,2015,Major trading partner 1 (% of imports),Spain,64
Andorra,2020,Major trading partner 1 (% of imports),Spain,64.2
Andorra,2010,Major trading partner 2 (% of exports),France,16.8
Andorra,2015,Major trading partner 2 (% of exports),France,19.5
Andorra,2020,Major trading partner 2 (% of exports),France,18.3
Andorra,2010,Major trading partner 2 (% of imports),France,17.6
Andorra,2015,Major trading partner 2 (% of imports),France,15.9
Andorra,2020,Major trading partner 2 (% of imports),France,13.2
Andorra,2010,Major trading partner 3 (% of exports),Norway,4.3
Andorra,2015,Major trading partner 3 (% of exports),Norway,3.7
Andorra,2020,Major trading partner 3 (% of exports),Norway,3.7
Andorra,2010,Major trading partner 3 (% of imports),China,4.1
Andorra,2015,Major trading partner 3 (% of imports),China,3.8
Andorra,2020,Major trading partner 3 (% of imports),China,3.6
Angola,2010,Major trading partner 1 (% of exports),China,39.8
Angola,2015,Major trading partner 1 (% of exports),China,42.2
Angola,2020,Major trading partner 1 (% of exports),China,58.2
Angola,2010,Major trading partner 1 (% of imports),China,10.1
Angola,2015,Major trading partner 1 (% of imports),China,15.4
Angola,2020,Major trading partner 1 (% of imports),China,14.5
Angola,2010,Major trading partner 2 (% of exports),India,9.7
Angola,2015,Major trading partner 2 (% of exports),India,7.9
Angola,2020,Major trading partner 2 (% of exports),India,9
Angola,2010,Major trading partner 2 (% of imports),Portugal,14.4
Angola,2015,Major trading partner 2 (% of imports),Portugal,12.9
Angola,2020,Major trading partner 2 (% of imports),Portugal,13.6
Angola,2010,Major trading partner 3 (% of exports),United States,18.9
Angola,2015,Major trading partner 3 (% of exports),United States,3.7
Angola,2020,Major trading partner 3 (% of exports),United States,3.5
Angola,2010,Major trading partner 3 (% of imports),Singapore,0.8
Angola,2015,Major trading partner 3 (% of imports),Singapore,9.7
Angola,2020,Major trading partner 3 (% of imports),Singapore,9.6
Anguilla,2015,Major trading partner 1 (% of exports),Chile,0.4
Anguilla,2020,Major trading partner 1 (% of exports),Chile,55.5
Anguilla,2010,Major trading partner 1 (% of imports),Chile,0.1
Anguilla,2015,Major trading partner 1 (% of imports),Chile,0.2
Anguilla,2020,Major trading partner 1 (% of imports),Chile,48.2
Anguilla,2020,Major trading partner 2 (% of exports),Malta,22
Anguilla,2010,Major trading partner 2 (% of imports),United States,55
Anguilla,2015,Major trading partner 2 (% of imports),United States,60.9
Anguilla,2020,Major trading partner 2 (% of imports),United States,37.7
Anguilla,2010,Major trading partner 3 (% of exports),United Kingdom,0.3
Anguilla,2015,Major trading partner 3 (% of exports),United Kingdom,0.5
Anguilla,2020,Major trading partner 3 (% of exports),United Kingdom,6.9
Anguilla,2010,Major trading partner 3 (% of imports),Netherlands,1.3
Anguilla,2015,Major trading partner 3 (% of imports),Netherlands,2.1
Anguilla,2020,Major trading partner 3 (% of imports),Netherlands,2.2
Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United Arab Emirates,0.2
Antigua and Barbuda,2020,Major trading partner 1 (% of exports),United Arab Emirates,52.7
Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,34.5
Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,55.5
Antigua and Barbuda,2020,Major trading partner 1 (% of imports),United States,48.2
Antigua and Barbuda,2010,Major trading partner 2 (% of exports),United States,29.7
Antigua and Barbuda,2015,Major trading partner 2 (% of exports),United States,30.1
Antigua and Barbuda,2020,Major trading partner 2 (% of exports),United States,9.8
Antigua and Barbuda,2010,Major trading partner 2 (% of imports),China,8.4
Antigua and Barbuda,2015,Major trading partner 2 (% of imports),China,5.2
Antigua and Barbuda,2020,Major trading partner 2 (% of imports),China,7.4
Antigua and Barbuda,2010,Major trading partner 3 (% of exports),Netherlands,0.8
