Country Code,Country,Year,Series,System of trade,Value
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,"5,099,057"
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,"10,577,013"
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,"15,275,115"
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,"16,482,346"
1,"Total, all countries or areas",2018,Imports CIF (millions of US dollars),,"19,448,147"
1,"Total, all countries or areas",2019,Imports CIF (millions of US dollars),,"18,870,155"
1,"Total, all countries or areas",2020,Imports CIF (millions of US dollars),,"17,552,638"
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,"5,050,238"
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,"10,373,445"
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,"15,102,218"
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,"16,384,279"
1,"Total, all countries or areas",2018,Exports FOB (millions of US dollars),,"19,108,071"
1,"Total, all countries or areas",2019,Exports FOB (millions of US dollars),,"18,585,471"
1,"Total, all countries or areas",2020,Exports FOB (millions of US dollars),,"17,480,150"
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,"-48,819"
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,"-203,568"
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,"-172,897"
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,"-98,067"
1,"Total, all countries or areas",2018,Balance imports/exports (millions of US dollars),,"-340,076"
1,"Total, all countries or areas",2019,Balance imports/exports (millions of US dollars),,"-284,684"
1,"Total, all countries or areas",2020,Balance imports/exports (millions of US dollars),,"-72,488"
2,Africa,1995,Imports CIF (millions of US dollars),,"114,352"
2,Africa,2005,Imports CIF (millions of US dollars),,"246,228"
2,Africa,2010,Imports CIF (millions of US dollars),,"468,435"
2,Africa,2015,Imports CIF (millions of US dollars),,"547,529"
2,Africa,2018,Imports CIF (millions of US dollars),,"575,760"
2,Africa,2019,Imports CIF (millions of US dollars),,"583,087"
2,Africa,2020,Imports CIF (millions of US dollars),,"601,399"
2,Africa,1995,Exports FOB (millions of US dollars),,"103,460"
2,Africa,2005,Exports FOB (millions of US dollars),,"306,656"
2,Africa,2010,Exports FOB (millions of US dollars),,"496,594"
2,Africa,2015,Exports FOB (millions of US dollars),,"402,988"
2,Africa,2018,Exports FOB (millions of US dollars),,"504,828"
2,Africa,2019,Exports FOB (millions of US dollars),,"491,767"
2,Africa,2020,Exports FOB (millions of US dollars),,"567,007"
2,Africa,1995,Balance imports/exports (millions of US dollars),,"-10,892"
2,Africa,2005,Balance imports/exports (millions of US dollars),,"60,428"
2,Africa,2010,Balance imports/exports (millions of US dollars),,"28,159"
2,Africa,2015,Balance imports/exports (millions of US dollars),,"-144,542"
2,Africa,2018,Balance imports/exports (millions of US dollars),,"-70,932"
2,Africa,2019,Balance imports/exports (millions of US dollars),,"-91,321"
2,Africa,2020,Balance imports/exports (millions of US dollars),,"-34,393"
15,Northern Africa,1995,Imports CIF (millions of US dollars),,"45,062"
15,Northern Africa,2005,Imports CIF (millions of US dollars),,"87,571"
15,Northern Africa,2010,Imports CIF (millions of US dollars),,"181,147"
15,Northern Africa,2015,Imports CIF (millions of US dollars),,"205,560"
15,Northern Africa,2018,Imports CIF (millions of US dollars),,"227,329"
15,Northern Africa,2019,Imports CIF (millions of US dollars),,"228,304"
15,Northern Africa,2020,Imports CIF (millions of US dollars),,"202,905"
15,Northern Africa,1995,Exports FOB (millions of US dollars),,"33,043"
15,Northern Africa,2005,Exports FOB (millions of US dollars),,"114,104"
15,Northern Africa,2010,Exports FOB (millions of US dollars),,"165,544"
15,Northern Africa,2015,Exports FOB (millions of US dollars),,"108,845"
15,Northern Africa,2018,Exports FOB (millions of US dollars),,"148,735"
15,Northern Africa,2019,Exports FOB (millions of US dollars),,"158,351"
15,Northern Africa,2020,Exports FOB (millions of US dollars),,"169,375"
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,"-12,019"
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,"26,533"
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,"-15,603"
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,"-96,714"
15,Northern Africa,2018,Balance imports/exports (millions of US dollars),,"-78,594"
15,Northern Africa,2019,Balance imports/exports (millions of US dollars),,"-69,954"
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,"-33,530"
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,"69,290"
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,"158,657"
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,"287,288"
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,"341,970"
202,Sub-Saharan Africa,2018,Imports CIF (millions of US dollars),,"348,431"
202,Sub-Saharan Africa,2019,Imports CIF (millions of US dollars),,"354,783"
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,"398,494"
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,"70,417"
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,"192,552"
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,"331,050"
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,"294,142"
202,Sub-Saharan Africa,2018,Exports FOB (millions of US dollars),,"356,092"
202,Sub-Saharan Africa,2019,Exports FOB (millions of US dollars),,"333,416"
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,"397,632"
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,"1,127"
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,"33,895"
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,"43,762"
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,"-47,827"
202,Sub-Saharan Africa,2018,Balance imports/exports (millions of US dollars),,"7,662"
202,Sub-Saharan Africa,2019,Balance imports/exports (millions of US dollars),,"-21,367"
