date,tests,total_tests,cases,total_cases,deceased,total_deceased,vaccination,total_vaccinations,recovered,total_recovered
02/02/2020,66,352,0,8,0,0,0,0,0,0
03/02/2020,41,393,0,8,0,0,0,0,0,0
04/02/2020,51,444,2,10,0,0,0,0,0,0
05/02/2020,50,494,2,12,0,0,0,0,1,1
06/02/2020,224,718,2,14,0,0,0,0,0,1
07/02/2020,187,905,1,15,0,0,0,0,0,1
08/02/2020,76,981,1,16,0,0,0,0,1,2
09/02/2020,108,1089,1,17,0,0,0,0,1,3
10/02/2020,80,1169,1,18,0,0,0,0,0,3
11/02/2020,211,1380,0,18,0,0,0,0,0,3
12/02/2020,220,1600,0,18,0,0,0,0,0,3
13/02/2020,170,1770,0,18,0,0,0,0,0,3
14/02/2020,116,1886,1,19,0,0,0,0,4,7
15/02/2020,153,2039,3,22,0,0,0,0,1,8
16/02/2020,124,2163,0,22,0,0,0,0,0,8
17/02/2020,85,2248,0,22,0,0,0,0,3,11
18/02/2020,262,2510,0,22,0,0,0,0,2,13
19/02/2020,99,2609,0,22,0,0,0,0,4,17
20/02/2020,96,2705,0,22,0,0,0,0,0,17
21/02/2020,72,2777,0,22,0,0,0,0,0,17
22/02/2020,33,2810,0,22,0,0,0,0,1,18
23/02/2020,119,2929,0,22,0,0,0,0,0,18
24/02/2020,54,2983,0,22,0,0,0,0,2,20
25/02/2020,117,3100,0,22,0,0,0,0,0,20
26/02/2020,193,3293,0,22,0,0,0,0,0,20
27/02/2020,139,3432,1,23,0,0,0,0,2,22
28/02/2020,236,3668,2,25,0,0,0,0,0,22
29/02/2020,211,3879,0,25,0,0,0,0,0,22
01/03/2020,198,4077,4,29,0,0,0,0,0,22
02/03/2020,236,4313,0,29,0,0,0,0,0,22
03/03/2020,540,4853,7,36,0,0,0,0,0,22
04/03/2020,615,5468,14,50,0,0,0,0,1,23
05/03/2020,782,6250,5,55,0,0,0,0,0,23
06/03/2020,617,6867,28,83,0,0,0,0,0,23
07/03/2020,916,7783,10,93,0,0,0,0,1,24
08/03/2020,456,8239,6,99,0,0,0,0,1,25
