date,total_cases,cases,total_deceased,deceased
22/01/2020,557,0,17,0
23/01/2020,655,98,18,1
24/01/2020,941,286,26,8
25/01/2020,1434,493,42,16
26/01/2020,2118,684,56,14
27/01/2020,2927,809,82,26
28/01/2020,5578,2651,131,49
29/01/2020,6167,589,133,2
30/01/2020,8235,2068,171,38
31/01/2020,9927,1692,213,42
01/02/2020,12038,2111,259,46
02/02/2020,16787,4749,362,103
03/02/2020,19887,3100,426,64
04/02/2020,23898,4011,492,66
05/02/2020,27643,3745,564,72
06/02/2020,30805,3162,634,70
07/02/2020,34399,3594,719,85
08/02/2020,37130,2731,806,87
09/02/2020,40161,3031,906,100
10/02/2020,42769,2608,1013,107
11/02/2020,44811,2042,1113,100
12/02/2020,45229,418,1118,5
13/02/2020,60381,15152,1371,253
14/02/2020,66909,6528,1523,152
15/02/2020,69052,2143,1666,143
16/02/2020,71235,2183,1770,104
17/02/2020,73270,2035,1868,98
18/02/2020,75152,1882,2008,140
19/02/2020,75652,500,2123,115
20/02/2020,76212,560,2248,125
21/02/2020,76841,629,2252,4
22/02/2020,78602,1761,2459,207
23/02/2020,78982,380,2470,11
24/02/2020,79550,568,2630,160
25/02/2020,80404,854,2710,80
26/02/2020,81381,977,2771,61
27/02/2020,82740,1359,2814,43
28/02/2020,84128,1388,2873,59
29/02/2020,86022,1894,2943,70
01/03/2020,88400,2378,2997,54
02/03/2020,90379,1979,3086,89
03/03/2020,92980,2601,3160,74
04/03/2020,95282,2302,3255,95
05/03/2020,98100,2818,3348,93
06/03/2020,102016,3916,3461,113
07/03/2020,106113,4097,3565,104
08/03/2020,110051,3938,3805,240
09/03/2020,114232,4181,3995,190
10/03/2020,119055,4823,4271,276
11/03/2020,126714,7659,4616,345
12/03/2020,132513,5799,4925,309
13/03/2020,146864,14351,5417,492
14/03/2020,157962,11098,5838,421
15/03/2020,169241,11279,6483,645
16/03/2020,184034,14793,7175,692
17/03/2020,200039,16005,7990,815
18/03/2020,219586,19547,8907,917
19/03/2020,246684,27098,10023,1116
20/03/2020,277565,30881,11519,1496
21/03/2020,309680,32115,13242,1723
22/03/2020,344821,35141,14927,1685
23/03/2020,387488,42667,16885,1958
24/03/2020,428574,41086,19195,2310
25/03/2020,479663,51089,22019,2824
26/03/2020,542525,62862,25059,3040
27/03/2020,607435,64910,28544,3485
28/03/2020,677100,69665,32380,3836
29/03/2020,734000,56900,35857,3477
30/03/2020,799279,65279,39938,4081
31/03/2020,876098,76819,44670,4732
01/04/2020,959013,82915,50684,6014
02/04/2020,1041924,82911,56576,5892
